id,z1,z2,z3,z4ab,z4cd,z5,z7,z9ab,z9cd,z10,z11,z16,z17,z18ab,z18cd,z19ab,z19cd,z24,z25,z26,z27,z12,z15,z28
A8,-,-,-,-,-,-,-,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
A6,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A4,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B8,-,-,-,-,-,-,1,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
B6,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B4,-,-,-,-,-,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C8,0,-,-,0,1,-,0,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
C6,0,-,-,0,1,-,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C4,0,-,-,0,1,-,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C2,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C1,1,1,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C3,1,1,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D8,-,0,1,1,1,-,1,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
D6,-,0,1,1,1,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D4,-,0,1,1,1,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D2,-,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D1,-,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D3,-,0,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G1,-,0,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G2,1,1,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H1,-,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H2,1,1,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I1,-,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I2,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J1,-,0,1,1,1,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J2,0,-,-,0,1,-,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J3,-,-,-,-,-,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J4,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
K1,-,0,1,1,1,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
